"@timestamp","kubernetes.pod_name",log
"Jul 2, 2025 @ 11:51:46.139","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:51:46.119876823Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44750"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-frontend"",""package_version"":""sha256:7ec27f0fbbbce272578cd2a1c5cc78e2ecd422910f9df069f06e4a4e0bcb9377"",""package_id"":7198418,""package_created_at"":""2024-10-23T17:41:16Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7198418"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""buildcache""}"
"Jul 2, 2025 @ 11:51:38.081","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:51:38.076314723Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44750"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-frontend"",""package_version"":""sha256:0450dfaae332d95116803437bbbda189860d74419ad2a10b99640a8dced8c275"",""package_id"":7198418,""package_created_at"":""2024-10-23T17:41:16Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7198418"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""buildcache""}"
"Jul 2, 2025 @ 11:51:17.180","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:51:17.177095734Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44750"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-example"",""package_version"":""sha256:f98a094d42e00c0ce65f592d3bad4fcd8dd29f479453f89277cbe44e51ae4678"",""package_id"":7217457,""package_created_at"":""2024-10-28T02:20:59Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7217457"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""buildcache""}"
"Jul 2, 2025 @ 11:51:12.585","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:51:12.582960141Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44750"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-example"",""package_version"":""sha256:9b1e21d317b0a008a2025bf9e4d3924c426aeb2d7d016ad0063be29f0b2b4efa"",""package_id"":7217457,""package_created_at"":""2024-10-28T02:20:59Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7217457"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""buildcache""}"
"Jul 2, 2025 @ 11:50:56.972","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:50:56.960584541Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44750"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-frontend"",""package_version"":""sha256:881753d59ec193e94d569a0a62c8aac02682d8a0e82c977737197f21063b7d93"",""package_id"":7198418,""package_created_at"":""2024-10-23T17:41:16Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7198418"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""1.0.422""}"
"Jul 2, 2025 @ 11:50:56.010","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:50:56.002828759Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44750"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-frontend"",""package_version"":""sha256:5951f01ebc28a4aa90e83fad10dc06db87e51eb7f442645b83df81fb635c3b70"",""package_id"":7198418,""package_created_at"":""2024-10-23T17:41:16Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7198418"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""""}"
"Jul 2, 2025 @ 11:50:56.004","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:50:56.002094868Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:58530"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-frontend"",""package_version"":""sha256:8d31da121f6d998bb68328a9d43a103c1e8c1109d1eec859fcf1c391cf886200"",""package_id"":7198418,""package_created_at"":""2024-10-23T17:41:16Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7198418"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""""}"
"Jul 2, 2025 @ 11:50:46.434","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:50:46.42462649Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:58530"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-frontend"",""package_version"":""sha256:22b4158839ebf7dc13927ce2b6f0dd1ffd658953770d6045855936b56b0b6022"",""package_id"":7198418,""package_created_at"":""2024-10-23T17:41:16Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7198418"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""stg-9c8f5e28c2c7d78da2648f5eaa62216038cbd1fd-1458""}"
"Jul 2, 2025 @ 11:50:46.092","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:50:46.076138731Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:44750"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-frontend"",""package_version"":""sha256:0ee9a36a19b7eabc992fbf291383f48c0ed97c3d7a6ff79f2d8ca7044a44143d"",""package_id"":7198418,""package_created_at"":""2024-10-23T17:41:16Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7198418"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""""}"
"Jul 2, 2025 @ 11:50:46.086","stg-package-watcher-65fc884869-8wf2l","{""time"":""2025-07-02T02:50:46.075685541Z"",""level"":""INFO"",""msg"":""package created"",""method"":""POST"",""path"":""/"",""remote_addr"":""10.244.0.58:58530"",""repo"":""auth"",""action"":""published"",""package_name"":""auth-frontend"",""package_version"":""sha256:6f9e2bc176140609579bfa9f85bd2af5f0ee25a3db8093101cc0f20b6a7d1a1b"",""package_id"":7198418,""package_created_at"":""2024-10-23T17:41:16Z"",""package_description"":"""",""package_ecosystem"":""CONTAINER"",""package_html_url"":""https://github.com/piny940/packages/7198418"",""package_namespace"":""piny940"",""package_type"":""CONTAINER"",""package_tag"":""""}"
